feature,permutation_pr_auc_drop
PAY_0,0.03897586669716013
RecentPaymentDelay,0.026749399645708882
NumDelayedMonths,0.020881936481903007
PAY_6,0.016091732857956897
BillToLimitRatio_2,0.014905631391798235
MARRIAGE,0.006003036132129269
LIMIT_BAL,0.004676304700612088
PAY_AMT2,0.004419027684984145
BILL_AMT6,0.00423229246191803
PAY_AMT1,0.004153670231448747
PAY_AMT5,0.0019780867845383687
PAY_AMT4,0.001052401410363557
MaxPaymentDelay,0.0009756456834760785
BillToLimitRatio_3,0.0009130452385271992
PAY_AMT6,0.00035367944525432904
AvgPaymentToBillRatio,-0.0006664880451038302
BILL_AMT1,-0.0006998912632214527
PAY_AMT3,-0.0008006702308304137
AvgPaymentAmount,-0.001034141236613717
BILL_AMT2,-0.0010981344119562753
BillToLimitRatio_6,-0.00111053380353765
BILL_AMT3,-0.0014074844325516755
AvgBillAmount,-0.001722218019538313
BILL_AMT5,-0.0021745329977078676
PAY_3,-0.0023150548442751884
PaymentToLimitRatio,-0.004173507115440511
BILL_AMT4,-0.004198043493013004
PAY_5,-0.004853021604764085
BillToLimitRatio_1,-0.005119084061511292
BillToLimitRatio_4,-0.005157081144832265
EDUCATION,-0.005328438650380685
AGE,-0.00537004688514886
PAY_4,-0.005401807552803506
AvgBillToLimitRatio,-0.006156920423267764
BillToLimitRatio_5,-0.006264200738019143
PAY_2,-0.00989751618060386
