policy,threshold,sex_code,sex_group,group,n,true_positives,false_positives,true_negatives,false_negatives,accuracy,precision,positive_predictive_value,recall,true_positive_rate,false_positive_rate,false_negative_rate,specificity,true_negative_rate,negative_predictive_value
xgboost_baseline_threshold_050,0.5,1,Male,Male (SEX=1),2351,205,96,1676,374,0.8000850701829009,0.6810631229235881,0.6810631229235881,0.3540587219343696,0.3540587219343696,0.05417607223476298,0.6459412780656304,0.945823927765237,0.945823927765237,0.817560975609756
xgboost_baseline_threshold_050,0.5,2,Female,Female (SEX=2),3651,248,139,2764,500,0.8249794576828267,0.6408268733850129,0.6408268733850129,0.3315508021390374,0.3315508021390374,0.0478815018945918,0.6684491978609626,0.9521184981054082,0.9521184981054082,0.8468137254901961
xgboost_recall_threshold_025,0.25,1,Male,Male (SEX=1),2351,360,371,1401,219,0.749042960442365,0.49247606019151846,0.49247606019151846,0.6217616580310881,0.6217616580310881,0.20936794582392776,0.37823834196891193,0.7906320541760722,0.7906320541760722,0.8648148148148148
xgboost_recall_threshold_025,0.25,2,Female,Female (SEX=2),3651,411,472,2431,337,0.7784168720898385,0.4654586636466591,0.4654586636466591,0.5494652406417112,0.5494652406417112,0.1625904236996211,0.4505347593582888,0.8374095763003789,0.8374095763003789,0.8782514450867052
logistic_baseline_threshold_050,0.5,1,Male,Male (SEX=1),2351,369,421,1351,210,0.7316035729476819,0.4670886075949367,0.4670886075949367,0.6373056994818653,0.6373056994818653,0.2375846501128668,0.3626943005181347,0.7624153498871332,0.7624153498871332,0.8654708520179372
logistic_baseline_threshold_050,0.5,2,Female,Female (SEX=2),3651,432,609,2294,316,0.7466447548616817,0.414985590778098,0.414985590778098,0.5775401069518716,0.5775401069518716,0.2097829831209094,0.42245989304812837,0.7902170168790906,0.7902170168790906,0.878927203065134
dnn_baseline_threshold_050,0.5,1,Male,Male (SEX=1),2351,217,112,1660,362,0.798383666524883,0.6595744680851063,0.6595744680851063,0.3747841105354059,0.3747841105354059,0.06320541760722348,0.6252158894645942,0.9367945823927766,0.9367945823927766,0.820969337289812
dnn_baseline_threshold_050,0.5,2,Female,Female (SEX=2),3651,245,145,2758,503,0.8225143796220213,0.6282051282051282,0.6282051282051282,0.32754010695187163,0.32754010695187163,0.049948329314502236,0.6724598930481284,0.9500516706854978,0.9500516706854978,0.8457528365532045
dnn_recall_threshold_030,0.3,1,Male,Male (SEX=1),2351,329,288,1484,250,0.7711612079965972,0.5332252836304701,0.5332252836304701,0.5682210708117443,0.5682210708117443,0.16252821670428894,0.4317789291882556,0.837471783295711,0.837471783295711,0.8558246828143022
dnn_recall_threshold_030,0.3,2,Female,Female (SEX=2),3651,381,381,2522,367,0.7951246233908518,0.5,0.5,0.5093582887700535,0.5093582887700535,0.13124354116431278,0.49064171122994654,0.8687564588356872,0.8687564588356872,0.8729664243682935
