policy,display_name,threshold,sex_code,sex_group,group,n,actual_default_rate,mean_predicted_default_probability,predicted_high_risk_rate,predicted_low_risk_rate,approval_support_rate,demographic_parity_difference,disparate_impact_ratio,equal_opportunity_difference,equalized_odds_difference,false_positive_rate_difference,false_negative_rate_difference,high_risk_rate_difference
xgboost_baseline_threshold_050,XGBoost baseline threshold 0.50,0.5,1,Male,Male (SEX=1),2351,0.24627817949808592,0.2373718076758826,0.12803062526584433,0.8719693747341557,0.8719693747341557,0.022032268651218212,0.9753554494958341,0.006294570340171113,0.022507919795332176,0.006294570340171175,0.022507919795332176,0.022032268651218198
xgboost_baseline_threshold_050,XGBoost baseline threshold 0.50,0.5,2,Female,Female (SEX=2),3651,0.20487537660914817,0.2100556876140783,0.10599835661462613,0.8940016433853739,0.8940016433853739,0.022032268651218212,0.9753554494958341,0.006294570340171113,0.022507919795332176,0.006294570340171175,0.022507919795332176,0.022032268651218198
xgboost_recall_threshold_025,XGBoost recall threshold 0.25,0.25,1,Male,Male (SEX=1),2351,0.24627817949808592,0.2373718076758826,0.3109315185027648,0.6890684814972352,0.6890684814972352,0.06907997098153773,0.9088833186222565,0.04677752212430675,0.07229641738937687,0.046777522124306664,0.07229641738937687,0.06907997098153773
xgboost_recall_threshold_025,XGBoost recall threshold 0.25,0.25,2,Female,Female (SEX=2),3651,0.20487537660914817,0.2100556876140783,0.24185154752122706,0.7581484524787729,0.7581484524787729,0.06907997098153773,0.9088833186222565,0.04677752212430675,0.07229641738937687,0.046777522124306664,0.07229641738937687,0.06907997098153773
logistic_baseline_threshold_050,Logistic regression threshold 0.50,0.5,1,Male,Male (SEX=1),2351,0.24627817949808592,0.4573247527746859,0.3360272224585283,0.6639727775414717,0.6639727775414717,0.050899860092053384,0.9287987014574379,0.027801666991957408,0.05976559252999364,0.027801666991957408,0.05976559252999364,0.05089986009205333
logistic_baseline_threshold_050,Logistic regression threshold 0.50,0.5,2,Female,Female (SEX=2),3651,0.20487537660914817,0.430080991132446,0.28512736236647496,0.714872637633525,0.714872637633525,0.050899860092053384,0.9287987014574379,0.027801666991957408,0.05976559252999364,0.027801666991957408,0.05976559252999364,0.05089986009205333
dnn_baseline_threshold_050,DNN baseline threshold 0.50,0.5,1,Male,Male (SEX=1),2351,0.24627817949808592,0.2416257130470157,0.13994045087196938,0.8600595491280306,0.8600595491280306,0.03312040157040819,0.9629185568434344,0.013257088292721209,0.0472440035835342,0.013257088292721243,0.0472440035835342,0.03312040157040816
dnn_baseline_threshold_050,DNN baseline threshold 0.50,0.5,2,Female,Female (SEX=2),3651,0.20487537660914817,0.21362131406708437,0.10682004930156122,0.8931799506984388,0.8931799506984388,0.03312040157040819,0.9629185568434344,0.013257088292721209,0.0472440035835342,0.013257088292721243,0.0472440035835342,0.03312040157040816
dnn_recall_threshold_030,DNN recall threshold 0.30,0.3,1,Male,Male (SEX=1),2351,0.24627817949808592,0.2416257130470157,0.26244151424925566,0.7375584857507443,0.7375584857507443,0.05373157176774379,0.9320962379632979,0.03128467553997616,0.05886278204169093,0.03128467553997616,0.05886278204169093,0.053731571767743735
dnn_recall_threshold_030,DNN recall threshold 0.30,0.3,2,Female,Female (SEX=2),3651,0.20487537660914817,0.21362131406708437,0.20870994248151192,0.791290057518488,0.791290057518488,0.05373157176774379,0.9320962379632979,0.03128467553997616,0.05886278204169093,0.03128467553997616,0.05886278204169093,0.053731571767743735
