threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,approval_support_rate,predicted_high_risk_rate,demographic_parity_difference,disparate_impact_ratio,equal_opportunity_difference,equalized_odds_difference,false_positive_rate_difference,false_negative_rate_difference,high_risk_rate_difference
0.1,0.4838387204265245,0.289015963783655,0.9140919366993218,0.4391745112237509,0.6380852183061546,0.7747718507831988,0.5415000164539201,0.30073308897034323,0.6992669110296568,0.05875329891614156,0.8185209015712074,0.05721138481325072,0.05721138481325072,0.05721138481325072,0.01452578205092682,0.05875329891614156
0.15,0.6262912362545818,0.34641180415828304,0.7784476262245666,0.47946159201670924,0.6230398069963812,0.7747718507831988,0.5415000164539201,0.5031656114628457,0.4968343885371543,0.07477927712713023,0.8595580551485841,0.06748428690177277,0.06748428690177277,0.06748428690177283,0.03455847718267713,0.07477927712713034
0.2,0.722259246917694,0.41904761904761906,0.6631499623210249,0.5135687189962066,0.593952483801296,0.7747718507831988,0.5415000164539201,0.6501166277907364,0.3498833722092636,0.07161996020038908,0.8943923769419949,0.055050274916039976,0.055263084979634836,0.055050274916040004,0.055263084979634836,0.07161996020038908
0.25,0.766911029656781,0.47769516728624534,0.5810097965335342,0.5243114586875213,0.5569199653279399,0.7747718507831988,0.5415000164539201,0.7310896367877374,0.2689103632122626,0.06907997098153773,0.9088833186222565,0.04677752212430675,0.07229641738937687,0.046777522124306664,0.07229641738937687,0.06907997098153773
0.3,0.791236254581806,0.5276532137518685,0.5320271288620949,0.5298311444652908,0.531146554318387,0.7747718507831988,0.5415000164539201,0.7770743085638121,0.22292569143618793,0.060066632484810145,0.9249732209366945,0.037668474039076916,0.0642103756245786,0.037668474039076874,0.0642103756245786,0.06006663248481009
0.35,0.8068977007664112,0.5770642201834862,0.4740015071590053,0.5204799338022342,0.4915598624570178,0.7747718507831988,0.5415000164539201,0.8183938687104299,0.18160613128957015,0.05037664701151667,0.9398937456735139,0.028412656324235397,0.05684704404606872,0.0284126563242353,0.05684704404606872,0.05037664701151662
0.4,0.8143952015994669,0.6169045005488474,0.4235116804822909,0.5022341376228776,0.45184113201479337,0.7747718507831988,0.5415000164539201,0.848217260913029,0.151782739086971,0.035772699275039344,0.9585113961076338,0.01428272612825987,0.045306770847764466,0.01428272612825994,0.045306770847764466,0.0357726992750394
0.45,0.8153948683772076,0.6360248447204969,0.3858327053504145,0.4803001876172608,0.4187796499263864,0.7747718507831988,0.5415000164539201,0.8658780406531156,0.13412195934688437,0.027046423132006447,0.9691417216078264,0.008126566352702813,0.03248732370951202,0.008126566352702785,0.03248732370951202,0.027046423132006406
0.5,0.8152282572475842,0.6584302325581395,0.3413715146948003,0.4496277915632754,0.3777518345563709,0.7747718507831988,0.5415000164539201,0.8853715428190603,0.11462845718093968,0.022032268651218212,0.9753554494958341,0.006294570340171113,0.022507919795332176,0.006294570340171175,0.022507919795332176,0.022032268651218198
0.55,0.8133955348217261,0.6705107084019769,0.306706857573474,0.42088934850051707,0.3440405748098056,0.7747718507831988,0.5415000164539201,0.8988670443185605,0.10113295568143953,0.01834577755626754,0.9797519849280735,0.002901373141663166,0.02272496374904176,0.0029013731416632146,0.02272496374904176,0.01834577755626754
0.6,0.8117294235254915,0.6762075134168157,0.2848530519969857,0.40084835630965004,0.3221407874552582,0.7747718507831988,0.5415000164539201,0.9068643785404865,0.0931356214595135,0.016109394057273407,0.9823589089072869,0.003084689381032568,0.015534805537853358,0.0030846893810326168,0.015534805537853358,0.016109394057273366
0.65,0.8095634788403865,0.6940928270042194,0.2479276563677468,0.36535258189894504,0.2845036319612591,0.7747718507831988,0.5415000164539201,0.9210263245584805,0.0789736754415195,0.009323002350672516,0.9899175706213551,0.0009447687416068717,0.0016855541085958325,0.0009447687416069168,0.0016855541085958325,0.00932300235067253
0.7,0.8038987004331889,0.7232142857142857,0.18311981914091938,0.29224293445580274,0.21527285613040398,0.7747718507831988,0.5415000164539201,0.9440186604465178,0.055981339553482175,0.01145919363206227,0.9879187074933123,0.0034075825661784576,0.009111228099341395,0.0034075825661785235,0.009111228099341395,0.01145919363206225
